id,title,view,like,comment,channel_name,published_at,category_name,duration,engagement_rate,like_dislike_ratio,views_comment_ratio
pE1qTi_Lt8E,Vettaiyan - Prevue | Rajinikanth | Amitabh Bachchan | T.J. Gnanavel | Anirudh | Subaskaran | Lyca,4447442,215073,6850,Sun TV,2024-09-20 13:39:03+00:00,Entertainment,1m 38s,4.99,0.97,649.26
364HfM-UT18,JAM | Part 2 | Karikku | Comedy,2781882,194930,6742,Karikku,2024-09-20 12:29:58+00:00,Comedy,14m 8s,7.25,0.97,412.62
Bdyjlkf_QYo,Shaadi ka Rishta - Looking for the ideal Dulhan,3291806,239537,15143,Triggered Insaan,2024-09-20 08:45:00+00:00,People & Blogs,15m 32s,7.74,0.94,217.38
P68GjnVIcC4,"Jafaa - Ep 18 - [CC] 20th Sep 2024 - Sponsored By Salai, Masterpaints & Ujooba Beauty Cream - HUM TV",6189198,120255,2054,HUM TV,2024-09-20 16:00:32+00:00,Entertainment,36m 3s,1.98,0.98,3013.24
2zZuCBscrlI,Travis Head Strikes Brilliant 154 | Highlights - England v Australia | 1st Men’s Metro Bank ODI 2024,3490462,65321,3201,England & Wales Cricket Board,2024-09-19 19:28:48+00:00,Sports,15m 4s,1.96,0.95,1090.43
EBHfq2oov2I,"Full Video: Chinna Chinna Kangal | The Greatest Of All Time | Thalapathy Vijay | Venkat P, Yuvan S",3406160,154925,2838,T-Series Tamil,2024-09-18 11:29:08+00:00,Music,3m 58s,4.63,0.98,1200.20
-Zb-QgaBwOE,200 STREAK CHALLENGE IN FREE FIRE 😱🔥 YouTubers Reaction || Desi Gamers,864169,79843,13447,Desi Gamers,2024-09-21 03:10:04+00:00,Gaming,20m 52s,10.80,0.86,64.26
QqEarYb0Uaw,Full Video: Whistle Podu | The Greatest Of All Time | Thalapathy Vijay | VP | U1 | AGS,6360665,285967,7067,T-Series Tamil,2024-09-16 14:59:08+00:00,Music,4m 15s,4.61,0.98,900.05
XYTrUjPuA6I,Vettaiyan - Hunter Vantaar Audio Song  | Rajinikanth | Anirudh Ravichander | T.J.Gnanavel,2048825,140804,4771,Sony Music South,2024-09-20 05:33:18+00:00,Music,3m 13s,7.11,0.97,429.43
A5nzekj9PN0,ஸ்ரீனிவாச கோவிந்தா | புரட்டாசி சனிக்கிழமை கேளுங்கள் நினைத்ததை நிறைவேற்றும் பெருமாள் பாடல் | Apoorva,77654,526,25,Sakthi Audio,2024-09-20 23:30:04+00:00,Music,44m 9s,0.71,0.95,3106.16
bpULjBZ-J-4,OUT OF SYLLABUS | Jaspreet Singh Standup Comedy,382799,29100,440,Jaspreet Singh,2024-09-21 04:55:44+00:00,Comedy,8m 12s,7.72,0.99,870.00
olMA2OPBMLk,IPHONE 16 PRO MAX GAMING TEST : BGMI PERFORMANCE REVEALED,340305,37358,763,Snax Gaming,2024-09-21 04:30:31+00:00,Gaming,9m 10s,11.20,0.98,446.01
YIWWu9ah5g0,Oo Meghamala | Episode 1 | Telugu Webseries 2024 | Rowdy Baby | South Indian Logic,130886,8198,136,Rowdy Baby,2024-09-20 13:32:45+00:00,Entertainment,18m 27s,6.37,0.98,962.40
AAfT5vNukzc,Laddu Gaani Pelli Lyric Video | Mad Square | Kalyan Shankar |Bheems Ceciroleo |Kasarla Shyam |Mangli,1357237,76108,791,Aditya Music,2024-09-20 05:37:02+00:00,Music,4m 10s,5.67,0.99,1715.85
Uy9kyI9iciQ,Theneer-Udan Uraiyaadal | Meiyazhagan | Karthi | Arvind Swami | Govind Vasantha | C.Premkumar,324859,6085,386,2D Entertainment,2024-09-20 11:30:20+00:00,Music,42m 20s,1.99,0.94,841.60
vyhc7rInQ8Q,EXCLUSIVE: Pragathi Rishab Shetty Interview With Anushree | Sandalwood | Anushree Anchor,381307,12750,348,Anushree Anchor,2024-09-19 12:39:00+00:00,Entertainment,33m 8s,3.44,0.97,1095.71
1MJMdpfXf1U,Khairatabad Ganesh After Nimajjanam Lifting With Crane | Welding Work Processing | Khairathabad,547687,6405,102,Hyderabad Activities,2024-09-20 08:41:01+00:00,Entertainment,15m 23s,1.19,0.98,5369.48
qYztDs8vPBg,iPhone 16 Pro MAX Durability Test - Apple tried hard this year...,1082434,54743,3316,JerryRigEverything,2024-09-21 02:16:00+00:00,Howto & Style,8m 7s,5.36,0.94,326.43
4ivaI28rLqo,Apple iPhone 16 Pro Max Unboxing *New Camera Button*,2083330,70972,3265,Tech Burner,2024-09-19 03:30:47+00:00,Science & Technology,15m 14s,3.56,0.96,638.08
LiQKZHAILa0,Pudhu Marumagal in Purattasi | Ft.Archana | Araathi |Tamada Media,222670,4591,146,Araathi,2024-09-20 11:30:28+00:00,Entertainment,10m 55s,2.13,0.97,1525.14
GgSlQbWVTV8,Highlights Match 1 | Konark Suryas Odisha vs Manipal Tigers | legends league cricket 2024 | LLCS3 |,251601,6864,300,Legends League Cricket,2024-09-20 18:51:18+00:00,Sports,20m 28s,2.85,0.96,838.67
