,id,title,view,like,comment,category_id,duration_ios,channel_name,description,tag,published_at
0,pE1qTi_Lt8E,Vettaiyan - Prevue | Rajinikanth | Amitabh Bachchan | T.J. Gnanavel | Anirudh | Subaskaran | Lyca,4447442,215073,6850,24,PT1M38S,Sun TV,"Vettaiyan - Prevue | Rajinikanth | Amitabh Bachchan | T.J. Gnanavel | Anirudh | Subaskaran | Lyca Productions

#Vettaiyan #Thalaivar170 #Rajinikanth #TJGnanavel #Anirudh #Subaskaran #LycaProductions 

Lyca Productions 
Subaskaran Presents
Superstar Rajinikanth in Vettaiyan

Movie Credits:
Cast: Rajinikanth, Amitabh Bachchan, Fahadh Faasil, Rana Daggubati, Manju Warrier, Kishore, Ritika Singh, Dushara Vijayan, GM Sundar, Abirami, Rohini, Rao Ramesh, Ramesh Thilak, Rakshan
Writer & Director: T.J. Gnanavel
Music: Anirudh Ravichander
Director of Photography: SR Kathir I.S.C
Production Designer: K.Kadhir
Action Director: Anbariv
Editor: Philomin Raj
Screenplay: B Kiruthika
Choreographer: Dinesh
Art Director: Sakthee Venkatraj M.
Makeup: Banu, Pattanam Rasheed, Jeetendra Sawant
Costume Design: Perumal Selvam, Anu Vardhan, Veera Kapur Ee, Dinesh Manoharan, Liji Preman
Stills: S.R Murugan
Production Controller (Tharu Creations): Kimberly Senthil
Co Directors: Mahendran, Senthilkumar Kesavan
Casting Director: Surendra Thanu Murthy
Project Coordination: Whale Tale
First Associate Directors - R. Manikandan Valarmathi, Arun Prakash Samiaiah
Associate Directors - Muhammed Yasar Arafath, Manasvini Boovarahan, Saroja Prakash, Harsha
Damodharan, Sridhar Lo, K.A. Andrew
First Assistant Directors - Abishek, Ashok M J, Arunpandiyan Manokaran
Assistant Directors - A. Gopi Allimuthu, Bala Ganesh, S. Ganesa Moorthy
Lighting Cameraman - Sr. Santhosh Kumar
Operating Cameraman - Bheemji K, Sriram
Associate Cinematographers - V. Karthik, Subramanian Vineeth R
Assistant Cinematographers - Nirmal G, M. Mohamed Farid
Associate Editors - Anbalakan. G, Aral R Thangam
Assistant Editor - Alagar Naveen
Publicity Design: Gopi Prasanna
VFX: Digital Turbo Media
Title Animation: The Ident Labs
Sound Design: Sync Cinema
Final Mixing: Kannan Ganpat
Colorist: Raghunath Varma
DI: B2H Studios
DIT: GB Colors
PRO: Riyaz K Ahmed, Sathish (AIM)
Production Executives: K.R Balamurugan, Thambi M Boopathy
Production Managers: Saattai GNS Sundaram, Seithur K Elango, Sudhakar Dachinamoorthy, N. Palpandi
Production Controller: R.S Venkat
Executive Producer Lyca Productions: Subramanian Narayanan
Head of Lyca Productions - G.K.M. Tamil Kumaran
Produced by Subaskaran

#VettaiyanPrevue #SuperStarRajinikanth #Lyca #SunTV #TJGnanavel #Anirudh #lyca #superstarrajinikanth #Thalaivar170  #VettaiyanMovie #suntv #sunnxt #fahadhfaasil #amitabhbachchan #ranadaggubati #manjuwarrier #kishore #vettaiyanteaser #vettaiyantrailer #vettaiyanmovie #Vettaiyanmovieteaser","['vettaiyan official prevue', 'vettaiyan teaser', 'vettaiyan official trailer', 'vettaiyan trailer', 'vettaiyan movie teaser', 'vettaiyan rajinikanth', ""superstar's new movie"", 'superstar movie', 'thalaivar 170', 'vettaiyan', 'thalaivar 170 vettaiyan', 't.j. gnanavel', 'rajinikanth', 'anirudh', 'happy birthday rajinikanth', 'vettaiyan announcement', 'vettaiyan songs', 'Superstar rajinikanth', 'Rajinikanth new movie 2024', 'New tamil movie 2024', 'Anirudh musical', 'Vettaiyan movie', 'Amitabh bachchan', 'Manju warrior']",2024-09-20T13:39:03Z
1,364HfM-UT18,JAM | Part 2 | Karikku | Comedy,2781882,194930,6742,23,PT14M8S,Karikku,"https://forms.gle/Nh4WRJqToFW8FRcYA

അക്കൗണ്ടിങ് മേഖലയില്‍ ഒരു കരിയര്‍ സ്വപ്‌നം കാണുന്നവര്‍ക്ക് ആത്മവിശ്വാസത്തോടെ തെരഞ്ഞെടുക്കാവുന്ന, കൊമേഴ്‌സ് മേഖലയിലെ ഏറ്റവും മികച്ച പ്രൊഫഷണല്‍ കോഴ്‌സുകളിലൊന്നായ ACCA ഇനി മുതല്‍ Entriയിലും. ചിട്ടയായ പഠനവും കൃത്യമായ ഗൈഡന്‍സും ഉറപ്പാക്കുന്ന ENTRI ACCA യ്‌ക്കൊപ്പം കൊമേഴ്‌സിലെ ഭാവി സാധ്യതകള്‍ പഠിക്കാം. സ്വപ്‌നജോലിയിലേക്ക് അല്‍പ്പം നേരത്തെ എത്താന്‍ ഇപ്പോഴേ തയ്യാറായി ഇരുന്നോളൂ!

കൂടുതൽ വിവരങ്ങൾ അറിയാൻ  Form Fill ചെയ്യൂ.


STORY AND DIRECTION: BINOY JOHN
https://www.instagram.com/binoice 

DIALOGUES: KARIKKU

EXECUTIVE PRODUCER : NIKHIL PRASAD
https://www.instagram.com/nikhilprasaad 

DOP: SIDHARTH KT 
https://www.instagram.com/sidkt 

EDITOR: ANAND MATHEWS
https://www.instagram.com/anandmathews 

ASSOCIATE DIRECTORS:

ANAND MATHEWS
https://www.instagram.com/anandmathews 

SIDHARTH KT
https://www.instagram.com/sidkt 

ABHIJITH KRISHNAN
https://www.instagram.com/abijith_krishnan_ 

MUSIC: SHINE JOSE
https://www.instagram.com/shinejos 

VIOLA: JOSEKUTTY
https://youtube.com/@josekuttyviolin8081

DI: DAWN B JOHNS 
https://www.instagram.com/dawnbjohns 

CONFORMIST: SREERAJ R 
https://www.instagram.com/sreeraj__r__ 

SYNC SOUND & DIALOGUE EDIT: JISHNU RAMANUJAN 
https://www.instagram.com/jishnu_ramanujan 


SOUND DESIGN: NITHEESH VISHWAMBARAN
https://www.instagram.com/nitheeshviswambharan 

FINAL MIXING: HARI N PISHARODY
https://www.instagram.com/hari_pisharody_

VFX: ABIJITH KRISHNAN
https://www.instagram.com/abijith_krishnan_ 

ART: ANOOP MEPPADY
https://www.instagram.com/anoop._.meppadi 

MAKE UP: VAHID ALI PT 
https://www.instagram.com/vahid_ali_pt 

COSTUMES: BABITHA BRAHMANAND
https://www.instagram.com/babitha.brahmanand 

TITLE & POSTER: BINOY JOHN
https://www.instagram.com/binoice 

PRODUCTION MANAGER: ARUN RATAN
https://www.instagram.com/arunratan88 

ASSISTANT DIRECTORS:
BABITHA BRAHMANAND
https://www.instagram.com/babitha.brahmanand 

RAHUL RAMESH
https://www.instagram.com/thisisbyrahulramesh 

PRODUCTION EXECUTIVES:
SIRAJUDHEEN A
https://www.instagram.com/onlylove_srj

AMAL V AMBILI
https://www.instagram.com/_itz_me_ambili_

ASSISTANT EDITOR : RAHUL RAMESH
https://www.instagram.com/thisisbyrahulramesh 

ART ASSISTANT: LIVIN VARGHESE
https://www.instagram.com/livin.varghese.750 

FOCUS PULLER: TONY JOSEPH
https://www.instagram.com/tonyjosephpallithazhe 

CAMERA UNIT: SENSOR FILMS

LIGHT UNIT: BEFORE & AFTER FILM PRODUCTIONS

SOUND STUDIO: SAPTHA RECORDS

SUBTITLES: ARJJUN MENON
https://www.instagram.com/im6achi 

CAST : 

SABAREESH SAJJIN
https://www.instagram.com/sabareeshsajjin 

ANAND MATHEWS
 https://www.instagram.com/anandmathews 

UNNI MATHEWS
https://www.instagram.com/unnimathews 

KRISHNACHANDRAN (KC)
https://www.instagram.com/krishnachandran0 

ARUN RATAN
https://www.instagram.com/arunratan88 


JISHNU RAMANUJAN 
https://www.instagram.com/jishnu_ramanujan 

SUMA DEVI 
https://www.instagram.com/__sumadevi__ 

RIJU RAJEEV
https://www.instagram.com/riju_rajeev?igsh=dW8ycXo0OXYyOGV6

RAHUL RAMESH
https://www.instagram.com/thisisbyrahulramesh 

CHRIS ANTONY","['karikku', 'malayalam', 'funny', 'comedy', 'webseries', 'lolan', 'george', 'karikk', 'karikke', 'film', 'trending', 'sketch', 'vine', 'flowerstv']",2024-09-20T12:29:58Z
2,Bdyjlkf_QYo,Shaadi ka Rishta - Looking for the ideal Dulhan,3291806,239537,15143,22,PT15M32S,Triggered Insaan,"Today we are looking at some really funny matrimonial videos.

Instagram ► https://www.instagram.com/triggeredinsaan

Facebook ► https://www.facebook.com/realtriggeredinsaan

Gaming Channel ► https://www.youtube.com/liveinsaan

Discord ► https://discord.gg/liveinsaan

Twitter ► https://twitter.com/triggeredinsaan

About Me ► My name is Nischay Malhan. I'm from Delhi and I'm an engineering student. Now I am pursuing youtube Full Time. I make family friendly clean comedy videos on this channel for everyone to enjoy with their family. You don't need earphones to watch my videos😂

Thanks For Reading😘","['triggered insaan', 'live insaan', 'funny', 'roast', 'sketch comedy', 'shaadi', 'matrimonial video']",2024-09-20T08:45:00Z
3,P68GjnVIcC4,"Jafaa - Ep 18 - [CC] 20th Sep 2024 - Sponsored By Salai, Masterpaints & Ujooba Beauty Cream - HUM TV",6189198,120255,2054,24,PT36M3S,HUM TV,"UK Audience 🇬🇧 Book Your Tickets Now!! https://hum.tv/ticket-sale/
Danube Properties Dubai presents the Kashmir 9th HUM Awards, Digitally presented by JazzCash.

👉 Subscribe To HUM TV - https://bit.ly/Humtvpk

Jafaa - Episode 18 - [CC] 20th September 2024 - Sponsored By Salai, Masterpaints & Ujooba Beauty Cream - HUM TV

Digitally Presented By Salai
Digitally Powered By MasterPaints
Digitally Associated By Ujooba Beauty Cream

Written by Samira Fazal
Directed by Danish Nawaz
Produced by Momina Duraid Productions🎬


#jafaa 
#jafaaep18
#humtv 
#masterpaints 
#salai
#ujoobabeautycream 

#Jafaa #HUMTV #MawraHussain #UsmanMukhtar #SeharKhan #MohibMirza #NadiaAfgan #NaumanMasood #AnamGohar #ZarrarKhan #DanishNawaz #SamiraFazal #MominaDuraid","['pakistani serial', 'drama in hindi', 'latest pakistani drama', 'top pakistani drama', 'best pakistani drama', 'pakistani serial 2024', 'pakistani drama 2024 last episode', 'pakistani drama 2024 latest episode', 'pakistani dramas', 'Mawra Hussain', 'drama serial jafaa', 'usman mukhtar drama', 'usman mukhtar', 'sehar khan', 'sehar best dramas', 'jafa ep 18', 'jafa drama', 'Jafaa 18', 'Jafaa Episode 18', 'Jafaa latest Ep 18', 'Jafa', 'Jafaa - Ep 18', 'jafa', 'jafaa', 'jaffa episode 18', 'jafaa episode 18', 'Hum tv']",2024-09-20T16:00:32Z
4,2zZuCBscrlI,Travis Head Strikes Brilliant 154 | Highlights - England v Australia | 1st Men’s Metro Bank ODI 2024,3490462,65321,3201,17,PT15M4S,England & Wales Cricket Board,"Go to ecb.co.uk to join We Are England Cricket Supporters for free and get priority access to tickets and much more!

Watch match highlights from the 1st Men’s Metro Bank ODI between England and Australia at Trent Bridge, Nottingham.

Find out more at ecb.co.uk or download the app  - 

App store: https://apps.apple.com/gb/app/england-cricket/id314954199

Android: https://play.google.com/store/apps/details?id=com.othermedia.EcbCricket&pcampaignid=web_share

This is the official channel of the ECB. Watch all the latest videos from the England Cricket teams and England and Wales Cricket Board, including highlights, interviews and features getting you closer to the England teams and county players.

Subscribe for more: http://www.youtube.com/subscription_center?add_user=ecbcricket

Featuring video from the England cricket teams, Vitality Blast, County Championship, Metro Bank One-Day Cup and more.","['cricket videos', 'highlights', 'cricket', 'england cricket', 'batting', 'bowling', 'catch']",2024-09-19T19:28:48Z
5,EBHfq2oov2I,"Full Video: Chinna Chinna Kangal | The Greatest Of All Time | Thalapathy Vijay | Venkat P, Yuvan S",3406160,154925,2838,10,PT3M58S,T-Series Tamil,"Get ready to melt in this soul stirring melody of GOAT in the voices of Thalapathy and Bhavatharini. 

Hear is the song  “Chinna Chinna Kangal” from  new Tamil movie “The Greatest of All Time”

Starring Thalapathy Vijay, Prashanth, Prabhudeva, Mohan, Jayaram, Sneha, Laila, Ajmal Amir, Meenakshi Chaudhary, Vaibhav, Yogi Babu, Premgi Amaren, Yugendran Vasudevan, Akilan

#ThalapathyVijay #ChinnaChinnaKangal #TheGoat #TheGreatestOfAllTime 
---------------------------------
Connect with T-Series Tamil: 👉 http://bit.ly/SubscribeToTseriesTamil
---------------------------------
♪Full Song Available on♪ 
JioSaavn: https://bit.ly/4gd6vuE
Spotify: https://bit.ly/4dSTPaM
Hungama: https://bit.ly/3XbFZJl
Apple Music: https://bit.ly/4g9LkcW
Gaana: https://bit.ly/3yXyJch
Amazon Prime Music: https://bit.ly/3ASzJ1K

🎶 Music Slate 🎶
Song Title : Chinna Chinna Kangal
Album/Movie : The Greatest of All Time
Composed by : Yuvan Shankar Raja
Vocals : Thalapathy Vijay, Yuvan Shankar Raja, Raja Bhavatharini
Lyricist : Kabilan Vairamuthu
Written & Directed by Venkat Prabhu
Music : Yuvan Shankar Raja
Banner : AGS Entertainment (P) Ltd
Producers : Kalpathi S Aghoram, Kalpathi S Ganesh, Kalpathi S Suresh
Creative Producer : Archana Kalpathi
Associate Creative Producer : Aishwarya Kalpathi
Executive Producer : S.M.Venkat Manickam
Director of Photography : Siddhartha Nuni
Production Designer : Rajeevan
Action : Dilip Subbarayan
Editor : Venkat Raajen
Dialogue Writers : Viji & Venkat Prabhu
Additional Screenplay & Dialogue : K.Chandru & Ezhilarasu Gunasekaran
Art Directors : B.Sekar & Surya Rajeevan
Costume designers : Vasuki Baskar & Pallavi Singh
Sound Mix : T Udayakumar
Sound Design : T Udayakumar , Renjith Venugopal, Saravakumar (Sound Vibe)
Lyricists : Gangai Amaren, Madhan Karky, Kabilan Vairamuthu, Vivek
Choreography : Sathish Krishnan
Stills : D.Maneksha
Promo Stills : Sudharsan
Publicity Designer : Gopi Prasanna
Production Executive : M.Senthikumar, Govindraj & Ramkumar Balasubramanian
VFX Head : R.Harihara Suthan
DI : B2H Studios
Character Designer : Preetisheel Singh D’Souza
Direction Team : Kanthan Pitchumani, Saravana Rajan, Veer Ramakrishnan, Thirunavukarasu,
Senthil Velayudham, Sasikumar Paramasivan, H.V.Priyan, L.J.Lokie, Prakruthee, Sushmitha
Gajendran, Nirmal Chinnayan, Vasanth veeraputhiran ( vv ), Kiruba Robert
Cinematography Team : Abhishek Goud, Naveen Sasi, Sreerangam Sravan, Pradeep Thangavel,
Vignesh Madheshwaran, Vivekanandan T.V, Shobika Ramaswamy
Editing Team : Ajith R, Jayasurya D , Vignesh, Sathish
Art Direction Team : Devaraj, Prakash Ravichandran, Mohanraj, Premkumar B
Production Managers : S.Mariappan, P.Viswanathan, Sakthi, K.R.Ranganathan
Production Team : Kamal Radhakrishnan, Arthi Palanisamy, Suraj J S (Paul)
PRO : Nikil Murukan & Riaz K Ahmed
Lyric Video by Venky
Musicians Credit :
Song Composed, Arranged and Produced by: YuvanShankarRaja
Lyrics : Kabilan Vairamuthu
Singer : Thalapathy Vijay, YuvanShankarRaja ,Bhavatharini
AI Voice Modeling Technology By: timelessvoices.ai
AI Technical Consultant: TR Krishna Chetan
Strings section: Chennai Strings Orchestra
Strings Conduction: Prabhakar
Song Produced and Recorded @ U1 Records
Recorded by M Kumaraguruparan
Mixed by Kausikan Sivalingam
Mixed @ Al Watan Studio (Dubai)
Mastered by Kausikan Sivalingam & Lennart Damann
Mastered @ High Tide Studios (Germany)

Music Label - T-Series
------------------------------
Enjoy & stay connected with us!!

👉Subscribe to T-Series Tamil: http://bit.ly/SubscribeToTseriesTamil
👉Like us on Facebook: https://www.facebook.com/TseriesTamil
👉Follow us on Instagram: http://bit.ly/InstagramT-SeriesSouthOffical
👉Follow us on Twitter: http://bit.ly/TwitterT-SeriesSouthOffical

Thanks Everyone for Watching Our Latest Tamil Song 2024. If you like the song than Please SUBSCRIBE Our Channel With Bell Icon to get notification of all of our newest releases. Will Make Sure to provide best Tamil songs of all time.","['Tamil songs 2024', 'Tamil songs new', 'Tollywood songs 2024', 'tseries', 'tseries songs', 'chinna chinna kangal Full Video', 'chinna chinna kangal Full Video song', 'the goat', 'chinna chinna kangal Video song', 'chinna chinna kangal the goat', 'greatest of all time', 'thalapathy vijay chinna chinna kangal Video', 'chinna chinna kangal thalapathy vijay', 'thalapathy vijay song', 'vijay song new', 'chinna chinna kangal yuvan shankar', 'chinna chinna kangal vijay', 'vijay thalapathy chinna chinna kangal']",2024-09-18T11:29:08Z
6,-Zb-QgaBwOE,200 STREAK CHALLENGE IN FREE FIRE 😱🔥 YouTubers Reaction || Desi Gamers,864169,79843,13447,20,PT20M52S,Desi Gamers,"Download WinZO and get ₹50 per Refer- https://winzo.onelink.me/gu8K/1eaa95cf




1 To 200 STREAK CHALLENGE IN FREE FIRE
desi gamers 200 steak challenge
amitbhai 200 steak challenge
tonde gamers reaction on amitbhai 200 streak

this is a voiceover video ENJOY

Vlogging Channel - https://youtu.be/HTXY99ssCiM
Livestream & Highlights - https://youtu.be/OvfGzsKVRVU

Instagram - https://www.instagram.com/desigamers1/
Discord - https://discord.gg/desigamers
Facebook - https://www.facebook.com/AmitBhaiiii
TWITTER - https://twitter.com/desigamers01
Whatsapp - https://whatsapp.com/channel/0029Va9CITFH5JM0RGtSyv1o


#amitbhai #AD #DesiGamers #freefire","['Free Fire', 'desi gamers', 'free fire india', 'garena free fire', 'free fire live', 'desi gamers new video', 'amit bhai', 'desi army', 'amitbhai new video', 'challenge videos free fire', 'amit shrama', 'free fire challenges', '1 To 200 STREAK CHALLENGE IN FREE FIRE', 'desi gamers 200 steak challenge', 'amitbhai 200 steak challenge', 'tonde gamers reaction on amitbhai 200 streak']",2024-09-21T03:10:04Z
7,QqEarYb0Uaw,Full Video: Whistle Podu | The Greatest Of All Time | Thalapathy Vijay | VP | U1 | AGS,6360665,285967,7067,10,PT4M15S,T-Series Tamil,"Get Ready for the Most Amazing Party of GOAT. The Thalapathy's Party! 

Presenting the Full Video Song ""Whistle Podu"" from the New Tamil Movie ""The Greatest Of All Time"". Starring Thalapathy Vijay, Prashanth, Prabhudeva, Mohan, Jayaram, Sneha, Laila, Ajmal, Meenakshi Chaudhary, Vaibhav, Yogi Babu, Premgi Amaren, Yugendran Vasudevan Music Composed by Yuvan Shankar Raja & Lyricist by Madhan Karky.

#ThalapatyVijay #WhistlePodu #GOAT 

---------------------------------
Connect with T-Series Tamil: 👉 http://bit.ly/SubscribeToTseriesTamil
---------------------------------
♪Full Song Available on♪ 
JioSaavn: https://bit.ly/3xC0vKe
Spotify: https://bit.ly/3Jkuqcq
Hungama: https://bit.ly/440N0Qv
Apple Music: https://bit.ly/3JhGcnN
Gaana: https://bit.ly/4aAf4fZ
Amazon Prime Music: https://bit.ly/3xz4E1s
Wynk: https://bit.ly/3TVFMsh
YouTube Music: https://bit.ly/3JlkFLc

🎶 Music Duration Slate 🎶
Song Title : Whistle Podu
Album/Movie : The Greatest of All Time
Composed by : Yuvan Shankar Raja
Singer : Thalapathy Vijay, Yuvan Shankar Raja
Lyricist : Madhan Karky
Starring : Thalapathy Vijay, Prashanth , Prabhudeva , Mohan, Jayaram , Sneha , Laila, Ajmal,
Meenakshi Chaudhary, Vaibhav, Yogi Babu, Premgi Amaren, Yugendran Vasudevan.
Musicians:
Song Composed, Arranged and Produced by: YuvanShankarRaja
Musicians & Technicians:
Shehnai: Balesh
String Instruments: Babu
Flute : KJ Vijay
Male Harmonies : Sarath Santhosh, Shenbagaraj, Sai Vignesh, Velu
Female Harmonies: Abinaya, Aparna, Soundarya, Chaaru
Harmonies Supervision: Sam
Song Produced and Recorded @ U1 Records
Recorded by M Kumaraguruparan & Sharan Ravin
Mixed by Kausikan Sivalingam & YuvanShankarRaja
Mixed @ Al Watan Studio (Dubai)
Mastered by Kausikan Sivalingam & Lennart Damann
Mastered @ High Tide Studios (Germany)
Music Label - T-Series
Written & Directed by Venkat Prabhu
Music : Yuvan Shankar Raja
Banner : AGS Entertainment (P) Ltd
Producers : Kalpathi S Aghoram, Kalpathi S Ganesh, Kalpathi S Suresh
Creative Producer : Archana Kalpathi
Director of Photography : Siddhartha Nuni
Production Designer : Rajeevan
Action : Dilip Subbarayan
Editor : Venkat Raajen
Dialogue Writers : Viji & Venkat Prabhu
Additional Screenplay & Dialogue : K.Chandru & Ezhilarasu Gunasekaran
Art Directors : B.Sekar & Surya Rajeevan
Costume designers : Vasuki Baskar & Pallavi Singh
Lyricists : Gangai Amaren, Madhan Karky, Kabilan Vairamuthu, Vivek
Choreography : Raju Sundaram, Sekhar, Sathish
Stills : D.Maneksha
Promo Stills : Sudharsan
Publicity Designer : Gopi Prasanna
Production Executive : M.Senthikumar, Govindraj & Ramkumar Balasubramanian
VFX : R.Harihara Suthan
DI : B2H Studios
Character Designer : Preetisheel Singh D’Souza
Direction Team : Kanthan Pitchumani, Saravana Rajan, Veer Ramakrishnan, Thirunavukarasu,
Senthil Velayudham, Sasikumar Paramasivan, H.V.Priyan, L.J.Lokie, Prakruthee, Sushmitha
Gajendran, Nirmal Chinnaiyan, Vasanth veeraputhiran ( vv ), Kiruba Robert
Cinematography Team : Abhishek Goud, Naveen Sasi, Sreerangam Sravan, Pradeep Thangavel,
Vignesh Madheshwaran, Vivekanandan T.V, Shobika Ramaswamy
Editing Team : Ajith R, Jayasurya, Vignesh, Sathish
Art Direction Team : Devaraj, Prakash Ravichandran, Mohanraj, Premkumar B
Production Managers : S.Mariappan, P.Viswanathan, Sakthi, K.R.Ranganathan
PRO : Nikil Murukan & Riaz K Ahmed
Executive Producer : S.M.Venkat Manickam
Associate Creative Producer : Aishwarya Kalpathi
Production Team : Kamal Radhakrishnan, Arthi Palanisamy, Suraj J S (Paul)
Lyric Video by Venky

Music Label: T-Series
------------------------------
Enjoy & stay connected with us!!

👉Subscribe to T-Series Tamil: http://bit.ly/SubscribeToTseriesTamil
👉Like us on Facebook: https://www.facebook.com/TseriesTamil
👉Follow us on Instagram: http://bit.ly/InstagramT-SeriesSouthOffical
👉Follow us on Twitter: http://bit.ly/TwitterT-SeriesSouthOffical

Thanks Everyone for Watching Our Latest Tamil Song 2024. If you like the song than Please SUBSCRIBE Our Channel With Bell Icon to get notification of all of our newest releases. Will Make Sure to provide best Tamil songs of all time.","['tseries', 'tseries songs', 'the greatest of all time', 'the greatest of all time vijay', 'goat movie', 'thalapathy song', 'thalapathy vijay song', 'thalapathy vijay the greatest of all time', 'the greatest of all time song', 'the goat song thalapathy vijay', 'thalapathy vijay new song', 'thalapathy vijay new movie song', 'the greatest of all time vijay song', 'the greatest of all time thalapathy vijay', 'thalapthy vijay song', 'whistle pode full song', 'whitle pode vijay', 'whistle pode prabhu deva', 'thalapathy']",2024-09-16T14:59:08Z
8,XYTrUjPuA6I,Vettaiyan - Hunter Vantaar Audio Song  | Rajinikanth | Anirudh Ravichander | T.J.Gnanavel,2048825,140804,4771,10,PT3M13S,Sony Music South,"Lyca Productions 
Subaskaran Presents
Superstar Rajinikanth in Vettaiyan

Song Title : Hunter Vantaar
Album / Movie : Vettaiyan
Language : Tamil
Composed by Anirudh Ravichander
Lyrics - Arivu
Vocals - Siddarth Basrur

Movie Credits:
Cast: Rajinikanth, Amitabh Bachchan, Fahadh Faasil, Rana Daggubati, Manju Warrier, Kishore, Ritika Singh, Dushara Vijayan, GM Sundar, Abirami, Rohini, Rao Ramesh, Ramesh Thilak, Rakshan

Writer & Director: T.J. Gnanavel
Music: Anirudh Ravichander
Director of Photography: SR Kathir I.S.C
Production Designer: K.Kadhir
Action Director: Anbariv
Editor: Philomin Raj
Screenplay: B Kiruthika
Art Director: Sakthee Venkatraj M.
Choreographer: Dinesh
Makeup: Banu - Pattanam Rasheed
Costume Design: Perumal Selvam, Anu Vardhan, Veera Kapoor, Dinesh Manoharan, Liji Preman
Project Coordination: Whale Tale
Co Directors: Mahendran, Senthilkumar Kesavan
Production Controller (Tharu Creations): Kimberly Senthil
Stills: Murugan
Publicity Design: Gopi Prasanna
VFX: Digital Turbo Media
Title Animation: The Ident Labs
Sound Design: Sync Cinema
Sound Mixing: Kannan Ganpat
Colorist: Raghunath Varma
DI: B2H Studios
DIT: GB Colors
PRO - Riaz K Ahmed
Production Executives: K.R Balamurugan, Thambi M Boopathy
Production Controller: R.S Venkat
Executive Producer Lyca Productions: Subramanian Narayanan
Head of Lyca Productions - G.K.M. Tamil Kumaran
Produced by Subaskaran

Musicians Credits
Song Title : Hunter Vantaar
Album / Movie : Vettaiyan
Language : Tamil
Composed by Anirudh Ravichander
Lyrics - Arivu
Vocals - Siddarth Basrur
EL Fé Choir by Roe Vincent
Backing Vocals by Arivu
Veena - Malavikka Rajhesh
Electric Guitar - Keba Jeremiah
Keyboards, Synth & Rhythm Programmed by Anirudh Ravichander
Additional Music Production - Ashwin Krishna
Additional Rhythm Programmed by Shashank Vijay
Additional Keyboard Programmed by Arish
Music Advisor - Ananthakrrishnan
Creative Consultant - Sajith Satya
Recorded at
Albuquerque Records, Chennai. Engineered by Srinivasan M, Shivakiran S 
Mixed by Vinay Sridhar & Srinivasan M at Albuquerque Records, Chennai
Mastered by Luca Pretolesi at Studio DMI, Las Vegas, Assisted by Alistair
Music Coordinator - Velavan B
Music Label - Sony Music Entertainment India Pvt. Ltd.

© 2024 Sony Music Entertainment India Pvt. Ltd.

Subscribe Now: http://bit.ly/SonyMusicSouthVevo
Subscribe Now: http://bit.ly/SonyMusicSouthYT
Follow us: https://www.instagram.com/sonymusic_south/
Follow us: Twitter: https://twitter.com/SonyMusicSouth
Like us: Facebook: https://www.facebook.com/SonyMusicSouth
Join our WhatsApp broadcast channel https://whatsapp.com/channel/0029VaAThD53GJOwZNFUJZ3B
Join Our Instagram broadcast channel https://ig.me/j/Abal-auA3Y5L6OtV/","['Sony Music South', 'Sony Music', 'Latest Song', 'Tamil song', 'Tamil Latest Song', 'Tamil Latest Songs 2023', 'Latest songs in Tamil', 'Songs in Tamil', 'Latest Tamil Movies', 'latest Tamil Love Songs', 'Latest Tamil Hit Songs', 'Thalaivar 170', 'Vettaiyan', 'T.J. Gnanavel', 'Rajinikanth', 'Anirudh', 'HBD Super Star', 'Vettaiyan title reveal', 'Thalaivar 170 title', 'Happy Birthday Rajinikanth', 'vettaiyan first look', 'vettaiyan motion poster', 'vettaiyan songs', 'Rajinikanth dubbing', 'Rajinikanth Vettaiyan', 'Manasilaayo']",2024-09-20T05:33:18Z
9,A5nzekj9PN0,ஸ்ரீனிவாச கோவிந்தா | புரட்டாசி சனிக்கிழமை கேளுங்கள் நினைத்ததை நிறைவேற்றும் பெருமாள் பாடல் | Apoorva,77654,526,25,10,PT44M9S,Sakthi Audio,"அபூர்வா ஆடியோ பக்தியுடன் வழங்கும் நினைத்ததை நிறைவேற்றும் பெருமாள் பாடல் ""ஸ்ரீனிவாச கோவிந்தா"" புரட்டாசி சனிக்கிழமை கேளுங்கள்

Vedham Pottrum (Srinivasa Govindha) Tamil Traditional Devotional Song on Lord Balaji (Perumal). Sung by Ramu. Music by D.V. Ramani, Lyrics by Senkathirvaanan, Produced by Apoorva Audio.

Tamil devotional,hindu devotional,devotional,lord perumal,perumal songs,song on perumal,tirupati,tirumala,hindu god,lord balaji,lord venkatesa,tirupati,tirumala tirupati,tirupati kudai,puratasi,puratasi month,puratasi special,apoorva audio,devotional songs,tirupati brahmotsavam,brahmotsavam,lord tirumal,lord krishna,hinduism,hindu devotional,perumal songs,balaji songs,govinda,puratasi sanikizhamai","['angalamman pambai udukkai songs', 'amman pambai udukkai songs', 'angalamman pambai udukkai', 'pambai udukkai satham', 'vinayagam pambai udukkai songs', 'udukkai pambai amman songs', 'devotional', 'lord perumal', 'tirumala', 'hindu god', 'lord balaji', 'lord venkatesa', 'tirumala tirupati', 'tirupati kudai', 'puratasi', 'puratasi month', 'puratasi special', 'apoorva audio', 'devotional songs', 'tirupati brahmotsavam', 'brahmotsavam', 'lord tirumal', 'lord krishna', 'hinduism', 'balaji songs', 'govinda', 'puratasi sanikizhamai']",2024-09-20T23:30:04Z
